# Constructed from biom file
#OTU ID	SG1-BOT-2017-02mt-8pm-DNA-2	SG1-BOT-2016-02-7-1	SG1-BOT-2016-10-A2-a	SG1-BOT-2016-10-A1-b	SG1-BOT-2016-07-B05	SG1-BOT-2017-02mt-9am-DNA-3	SG1-BOT-2016-10-A3-a	SG1-BOT-2016-10-A3-d	SG1-BOT-2017-02mt-8pm-DNA-3	SG1-BOT-2017-02-1	SG1-BOT-2017-02mt-8pm-DNA-1	SG1-BOT-2017-02-2	SG1-BOT-2016-10-A1-a	SG1-BOT-2017-02-3	SG1-BOT-2016-02-9-1	SG1-BOT-2016-02-9-2	SG1-BOT-2016-07-B03	SG1-BOT-2016-07-B04	SG1-BOT-2017-02mt-9am-DNA-2	SG1-BOT-2016-10-A1-c	SG1-BOT-2016-10-A2-c	SG1-BOT-2017-02mt-9am-DNA-1	SG1-BOT-2016-02mt-7-1	SG1-BOT-2016-02-7-2	SG1-BOT-2016-02-8-3	SG1-BOT-2016-07-B02	SG1-BOT-2016-10-A1-e	SG1-BOT-2016-10-A3-c	SG1-BOT-2016-02-8-1	SG1-BOT-2016-02-7-3	SG1-BOT-2016-10-A2-d	SG1-BOT-2016-02-9-3	SG1-BOT-2016-10-A3-b	SG1-BOT-2017-02-9am-2	SG1-BOT-2017-02-4	SG1-BOT-2016-07-B01	SG1-BOT-2016-10-A2-b	SG1-BOT-2017-02-5	SG1-BOT-2016-02-8-2	SG1-BOT-2017-02-9am-1	taxonomy
EF105755.1.1364	7.0	0.0	0.0	0.0	1.0	7.0	1.0	3.0	3.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	1.0	2.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Chromatiales; D_4__Ectothiorhodospiraceae; D_5__uncultured; D_6__uncultured bacterium
EU869371.1.1242	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Nanohaloarchaeota; D_2__uncultured archaeon; D_3__uncultured archaeon; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon
KF234379.1.1501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfuromonadales; D_4__GR-WP33-58; D_5__uncultured bacterium; D_6__uncultured bacterium
AJ344314.1.918	0.0	0.0	0.0	0.0	1.0	0.0	1.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__uncultured
HQ425162.1.1424	43.0	4.0	17.0	5.0	7.0	142.0	3.0	2.0	14.0	4.0	19.0	6.0	16.0	5.0	9.0	11.0	1.0	6.0	14.0	7.0	10.0	9.0	4.0	21.0	5.0	0.0	25.0	25.0	12.0	23.0	0.0	0.0	9.0	3.0	8.0	4.0	0.0	3.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halapricum; D_6__uncultured archaeon
FN391256.1.1340	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__uncultured; D_6__uncultured euryarchaeote
KF717637.1.955	6.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__uncultured; D_6__uncultured archaeon
AB534154.1.972	5.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__uncultured; D_6__uncultured archaeon
CU467357.1.1354	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Cytophagia; D_3__Order II; D_4__Rhodothermaceae; D_5__Salinibacter; D_6__uncultured bacterium
HQ215546.1.1474	2.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halomicrobium
HQ400452.1.918	3.0	1.0	0.0	0.0	0.0	5.0	2.0	3.0	7.0	0.0	12.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	128.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	5.0	12.0	0.0	0.0	7.0	0.0	11.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halomarina
EF535046.1.974	8.0	0.0	0.0	0.0	0.0	14.0	1.0	7.0	2.0	1.0	2.0	0.0	9.0	2.0	0.0	0.0	1.0	1.0	4.0	0.0	2.0	7.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halolamina
JQ237116.1.1471	5.0	0.0	2.0	0.0	1.0	4.0	2.0	5.0	1.0	0.0	14.0	0.0	2.0	1.0	2.0	0.0	0.0	1.0	3.0	5.0	4.0	3.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halorussus
GQ374923.1.1446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Nanohaloarchaeota; D_2__uncultured archaeon; D_3__uncultured archaeon; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon
JN714407.1.1472	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Archaea; D_1__Euryarchaeota; D_2__Halobacteria; D_3__Halobacteriales; D_4__Halobacteriaceae; D_5__Halomicrobium
