Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Cellular Processes;Cell growth and death;Ferroptosis	4109.34066028	4335.01245698	4177.41193851	4070.84236858	4001.45241214	4206.21161077	3156.67213357	3388.53182655	3806.569066	3650.26002737	2918.81425052	3222.88305645	2823.38083927	2930.49731121	3209.62465294	3806.88738639	4193.67360248	3551.77610957	3890.65102736	3654.54980942
Cellular Processes;Cell growth and death;Necroptosis	2525.80062356	2661.42211338	2363.99863259	2359.76815075	2437.4725533	2785.29082017	2398.24657344	2392.64415339	2502.526481	2490.66792525	2270.7776044	2597.34488336	2175.65988821	2259.81015016	2436.97565496	2726.77886757	2732.39887166	2481.9667827	2667.79968093	2464.24740626
Cellular Processes;Cell growth and death;Apoptosis	676.734075882	743.681508826	572.623866659	561.728771941	669.004034357	669.903607282	526.885482096	498.174367082	631.886588	613.388019063	360.537188064	445.949299062	410.74458704	465.597108033	446.516620992	682.799641891	684.812804915	579.68934793	532.577892187	602.298426575
Cellular Processes;Cell growth and death;Cellular	26.0320209954	15.2681619964	24.9594589851	26.7412879972	20.3529970109	33.6946020142	34.1955820062	38.6162420064	28.428908	35.7846740036	30.4317530054	49.0804950068	47.6424390047	109.616213008	32.0527559994	25.6019279959	34.4057269957	28.6855909966	22.788306008	41.5200539707
Cellular Processes;Cellular community - eukaryotes;Signaling	7.09906299876	3.76177599912	5.80647399654	6.95837199928	4.00318500214	8.41968200354	7.45826500136	8.04337900131	4.92329	9.61207400098	7.97636100141	10.8572200015	11.7160360011	26.5112180019	7.14664899988	6.286346999	8.28129199898	6.60694299921	5.37274400189	8.57191599395
Cellular Processes;Transport and catabolism;Mitophagy	14.5359689975	10.2207859976	22.9821579863	21.5709009977	14.1739510076	20.3114720085	27.262173005	29.1016380048	21.69101	31.3986960032	14.5649890026	33.2779250046	29.2860270029	57.6576150041	24.7106339996	15.2113049976	23.3549639971	17.3456299979	10.7498260038	25.467282982
Cellular Processes;Transport and catabolism;Autophagy	720.170829875	769.60062782	604.096939641	603.925465937	706.325544377	713.2212143	592.019761108	547.20086909	681.857371	674.695829069	419.988227074	529.111577073	504.125479049	625.823133044	514.957145991	740.959540882	731.196070909	637.198167923	573.102528201	661.759464533
Cellular Processes;Transport and catabolism;Mitophagy	5.03402999912	4.32370399898	5.57017999669	5.83614199939	3.79696200202	7.06356200297	6.35558300115	8.00905400132	4.501912	8.46310500086	7.57452600135	10.3036270014	12.4221920012	22.9619450016	9.59511899984	6.22900199901	9.07074099888	8.07711699903	4.71350200166	10.4105499926
Cellular Processes;Transport and catabolism;Autophagy	13.8647879976	7.98947599814	9.98150799407	8.09334799914	10.2538000055	16.634681007	20.9853460038	16.9669510028	11.879372	18.5978160019	12.6113750022	23.7082880033	22.2128940022	57.8904840041	18.0590629997	11.1981109982	16.5379999979	15.9505399981	10.1853470036	18.6836779868
Cellular Processes;Cell motility;Flagellar	291.851559949	258.40488494	318.34375481	371.194476961	239.852029128	122.076948051	387.76769707	457.585585075	457.10237	425.086487043	500.675920088	668.657871093	543.934838053	459.321945032	479.626452991	245.148761961	407.519849949	227.220146973	262.893202092	333.089474765
