Category	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Environmental Information Processing;Signal transduction;Ras	13.7103349976	7.25229699829	9.34602899443	11.2212439988	8.94929200477	11.1718120047	14.4092100026	17.7734350029	10.2813	16.5727090017	14.7155700026	22.9415260032	26.7969320026	42.276569003	16.1371219997	9.50913299849	13.9265829983	12.5779609985	10.8356520038	17.9547159873
Environmental Information Processing;Membrane transport;ABC	64906.8400477	63673.3394611	63366.7016103	62411.6924545	63134.9115517	68235.7535427	63205.8291075	60480.7056989	63491.995506	62632.7096274	47550.0360484	54885.5108176	49792.1831639	48655.0346494	53927.8546161	66013.9267885	65372.0837359	62923.8918564	64856.0712427	61266.0607407
Environmental Information Processing;Signal transduction;Apelin	661.362096884	720.099751831	640.357560619	612.799219936	667.890189357	704.137485296	434.557422079	483.464019079	557.724335	539.628947055	324.500517057	428.904935059	342.717830034	467.294635033	370.232438994	617.543390902	610.985731924	567.812263932	519.120246182	504.734493643
Environmental Information Processing;Signal transduction;VEGF	3.93140399931	2.25998499947	4.34764099741	4.07657599958	2.68119600143	4.74938400199	4.83643600088	5.88242700096	4.224625	5.41104100055	4.23158700075	6.92834100096	6.28406000061	16.1340800011	4.94086799992	4.33439199931	4.61145199943	4.67833499944	3.44569500121	5.06925199642
Environmental Information Processing;Signal transduction;AMPK	3464.9151744	3700.05963913	3467.00518894	3407.95237864	3613.12435193	3491.32147347	3390.18535062	3406.85321856	3513.642382	3446.89753435	2977.24954053	3530.86886149	3280.98695632	3101.99704222	3476.87627094	3726.99455341	3870.68339652	3416.78843959	3288.43269415	3406.74685959
Environmental Information Processing;Signal transduction;PI3K-Akt	713.714567875	800.476047812	682.120347594	668.262188931	706.502076378	744.202706313	598.011758109	596.583664098	665.093647999	661.895631067	404.491077072	502.71552207	418.727858041	557.897513039	453.722496992	703.343333888	696.180008914	626.704070924	599.28353121	550.917543611
Environmental Information Processing;Signal transduction;mTOR	671.296144882	722.277101831	643.355651617	615.638477936	675.140153361	715.085930301	448.043962082	491.85965708	564.519484	556.957017057	333.205221059	438.010433061	354.692894035	501.276514035	377.975743993	624.528735901	619.826040923	584.09093293	526.085149184	512.745697638
Environmental Information Processing;Signal transduction;ErbB	5.62784099902	3.77921199912	5.41244799677	6.80610599929	4.07482500217	7.130365003	7.7239030014	10.2819740017	6.095502	9.18780800093	6.95126100123	11.4484400016	10.693623001	25.3807840018	7.52205399987	5.47495399913	6.78620999916	7.75146199908	5.30193400186	7.09088799499
Environmental Information Processing;Signal transduction;MAPK	1128.9106278	1080.22235375	833.175135504	892.290855907	1088.03920958	1394.03852059	1237.27428122	1047.82403217	1027.110008	1134.42374312	953.882515168	954.751249132	1037.2192301	781.917055056	1032.42898298	827.619581868	855.340718894	767.183513908	794.579241279	743.983166474
Environmental Information Processing;Signal transduction;MAPK	11.8260839979	7.53304999823	10.7242439936	13.1189109986	8.74233000467	13.4302060056	14.8997960027	18.7077780031	12.638329	16.9748430017	12.7872980023	22.1040160031	21.9692550021	47.1995030033	14.7608499997	12.1914029981	14.6110549982	14.5727949983	10.0347900035	16.948199988
Environmental Information Processing;Signal transduction;MAPK	84.6114059852	33.8840659921	68.5521469593	85.4413059911	52.0850890278	72.6897580306	194.598030036	160.058756026	114.179399	127.187271013	66.5284930117	157.268150022	94.0835150091	220.326191016	94.7984769983	75.6292659878	81.0622039899	46.2507259944	62.2396580219	66.4185009532
Environmental Information Processing;Signal transduction;MAPK	1872.63763767	1699.9932176	1438.46294214	1447.51187185	1770.36428695	1916.06474581	1719.67777831	1581.65724626	1656.027393	1611.06607616	1090.90108019	1341.28430119	1250.38720212	1119.93922308	1316.38269798	1532.55143976	1455.28586582	1414.08618283	1465.87078951	1309.36087708
Environmental Information Processing;Signal transduction;Rap1	9.08182699841	18.2188209957	8.19384699512	7.87190399918	7.61480400406	10.9407340046	9.9301090018	14.6566390024	18.064473	16.6459950017	9.74001800173	23.1082930032	15.2644180015	36.8041760026	17.1624899997	11.3757009982	22.3262809972	10.1801929988	8.34725700293	16.8603469881
Environmental Information Processing;Signal transduction;Two-component	19226.2951726	18956.0915326	18818.4317218	19203.221271	18395.4556478	19662.3246223	21860.778842	20445.3235013	20056.357034	20788.9265661	17811.9608801	20105.5710138	18271.0438138	16541.8621332	19990.8767737	20070.9802358	19996.5714185	18843.2173387	19653.4135879	18761.1543487
Environmental Information Processing;Signal transduction;Jak-STAT	5.55541199904	4.00579899907	4.61416999725	6.37695999933	4.23387600226	8.06604400339	7.03782000128	8.73411700144	6.078106	10.3838220011	6.15188500108	13.1489530018	11.4250530011	24.0308120017	7.05554599988	5.37321799914	7.81870899903	8.06592199903	4.68807200164	7.18457399493
