BIN	CONSENSUS
bin.13.fa	Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes
bin.63.fa	Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae
bin.43.fa	Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes
bin.44.fa	Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes
bin.19.fa	Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes
bin.11.fa	Bacteria;Proteobacteria;Alphaproteobacteria
bin.34.fa	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales
bin.39.fa	Bacteria;Proteobacteria;Gammaproteobacteria
bin.4.fa	Bacteria;Proteobacteria;Gammaproteobacteria
bin.58.fa	Bacteria;Proteobacteria;Gammaproteobacteria
bin.60.fa	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
bin.62.fa	Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria
bin.71.fa	Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria
bin.72.fa	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Chroococcales
bin.9.fa	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales
bin.91.fa	Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;Synechococcales;Synechococcaceae
bin.algae.fa	Eukaryota;Plantae;Chlorophyta
