K01365	ko04142;ko04210;ko05323;ko04612;ko05205;ko04145;ko04140;ko05418
K14301	ko03013
K10111	ko02010
K10112	ko02010
K19267	ko01110;ko00130
K14306	ko03013
K14309	ko03013
K19268	ko01100;ko01200;ko00630;ko00660
K17819	ko01100;ko00906
K12392	ko04142
K05849	ko04020;ko04022;ko04371;ko04974;ko04740
K12850	ko03040
K04646	ko05016;ko04142;ko04721;ko05100;ko04961;ko04144
K05845	ko02010
K05846	ko02010
K05847	ko02010
K00508	ko01100;ko00591
K12855	ko03040
K04085	ko04122
K15541	ko03015
K15542	ko03015
K15544	ko03015
K00507	ko01212;ko03320;ko04152;ko01040;ko04212
K00505	ko01100;ko01110;ko00350;ko00950;ko04916;ko00965
K11754	ko01100;ko00790
K00988	ko00230
K01101	ko01120;ko00627
K01100	ko01100;ko01120;ko01200;ko00710
K13541	ko01100;ko00860
K00983	ko01100;ko00520
K00980	ko00564
K00981	ko01100;ko01110;ko00564;ko04070
K05592	ko03018
K03878	ko01100;ko00190;ko05012;ko04723;ko04714
K04486	ko01100;ko01110;ko01230;ko00340
K02922	ko03010
K15893	ko01100;ko01110;ko01130;ko01200;ko00260;ko00630
K14549	ko03008
K15891	ko01130;ko00900;ko00909
K02926	ko03010
K02927	ko03010
K15894	ko00520
K02925	ko03010
K15898	ko00520
K15899	ko00520
K14546	ko03008
K14544	ko03008
K00217	ko01100;ko01120;ko01220;ko00362;ko00361;ko00623;ko00364
K00214	ko01100;ko01110;ko00860
K00215	ko01100;ko01110;ko01120;ko01130;ko01230;ko00300;ko00261
K03872	ko05200;ko04066;ko05211;ko04120
K01563	ko01100;ko01120;ko00361;ko00625
K01561	ko01100;ko01120;ko00361;ko00625
K01560	ko01100;ko01120;ko00361;ko00625
K00218	ko01100;ko01110;ko00860
K02038	ko02010
K04517	ko01100;ko01110;ko01130;ko01230;ko00400;ko00401
K01740	ko01100;ko00270
K01746	ko01100;ko00670
K01745	ko01100;ko00340
K01744	ko01100;ko00250
K02031	ko02024
K01749	ko01100;ko01110;ko01120;ko00860
K19266	ko01120;ko00620
K01039	ko01120;ko00650;ko00643
K02035	ko02024
K02036	ko02010
K02037	ko02010
K01585	ko01100;ko00330
K19269	ko01100;ko01110;ko01130;ko01200;ko00630
K01586	ko01100;ko01110;ko01120;ko01130;ko01230;ko00300
K01580	ko01100;ko01110;ko01120;ko00650;ko02024;ko00250;ko00410;ko04727;ko00430;ko04940
K01583	ko01100;ko00330
K10119	ko02010
K13497	ko01100;ko01110;ko01130;ko01230;ko00400
K01589	ko01100;ko01110;ko01130;ko00230
K01588	ko01100;ko01110;ko01130;ko00230
K18138	ko01501;ko01503
K18139	ko01501;ko02024
K13307	ko01130;ko00523
K14439	ko04550
K09175	ko04111
K02728	ko03050
K02729	ko03050
K14941	ko01120;ko00680
K02724	ko01100;ko00195
K02726	ko03050
K02727	ko03050
K02720	ko01100;ko00195
K02722	ko01100;ko00195
K02723	ko01100;ko00195
K02456	ko05111;ko03070
K02457	ko05111;ko03070
K02106	ko02020
K02107	ko00190
K02452	ko05111;ko03070
K02453	ko05111;ko03070
K05551	ko01130;ko01056;ko00253
