	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Carbohydrate metabolism;Starch	5302.6153215	5413.78514423	5920.44895677	5927.18312086	5433.46637936	5009.39380203	6323.69905674	6157.44247245	5806.10742398	5971.69016305	7560.77436067	6708.67899123	7485.83513079	6354.84712267	7139.81035751	5390.51464968	5283.44418664	5363.50925431	5787.63050958	5913.58198
Cell growth and death;Apoptosis	358.430899686	348.516190355	312.066479471	319.975131472	345.597040371	364.283412531	354.365801159	333.147718526	347.136994569	367.044688438	226.897423212	241.029319013	263.399647585	299.20849004	254.123373303	311.675663116	310.844381859	275.561227762	258.242719502	312.668962058
Cell growth and death;Cell	1673.32348462	1709.69945439	1781.28402449	1854.63827288	1653.94187725	1470.36944775	2389.23635047	2351.65805077	2043.73011354	2149.1030728	2699.10412615	2618.30238795	2991.84623345	2694.64645094	2535.10620921	1887.45391261	1826.91927182	2026.75063849	2018.04409281	2057.67896137
Cell growth and death;Ferroptosis	1606.66724367	1693.30295666	1818.32649649	1745.69850652	1613.91036036	1553.40973515	1258.71581118	1439.03651942	1544.17319067	1479.72555647	1468.56658731	1437.86907725	1349.82751797	1505.53025743	1452.40797329	1516.15971367	1723.21168908	1494.80421991	1621.89395492	1607.3496916
Cell growth and death;Meiosis	109.353853394	171.860164968	124.150908031	144.641403267	143.491711105	106.311436403	236.787516067	243.947795677	163.118515569	196.272263106	211.268878673	273.496932922	268.240265735	298.870432081	261.627611416	138.091861964	143.176395529	134.094909419	153.568947673	150.087996495
Cell motility;Flagellar	119.345078337	106.667908996	145.556970013	167.435497724	102.424072759	48.0608246038	164.292826932	205.411201462	193.237679369	180.324345606	260.564089834	304.147254516	270.217375904	249.967976617	222.247981295	102.155264959	170.793328809	101.930234891	115.278809113	153.329352101
Cellular community - eukaryotes;Tight	296.207699356	339.516237014	274.653278868	278.094161881	310.960485425	357.603602381	243.968986128	268.399453617	304.272111896	287.296166304	198.630206019	210.191465315	206.518599976	233.744455551	205.492829211	335.362395692	269.3856943	312.839058006	247.038916917	287.101419882
Cellular community - prokaryotes;Quorum	23061.4889679	24225.8089809	25394.7890092	24506.6232478	23993.4469131	23210.0084856	21070.734722	22277.2660435	22662.4415712	22066.8487431	18962.8283578	19372.8444577	18445.6011072	20960.8547371	19261.6144005	23080.1220793	23276.0128267	23732.0289217	23484.8748835	23968.1758936
Energy metabolism;Carbon	15656.0679183	15757.7345421	15407.6373319	15432.1087363	15583.0812232	15881.5766921	14933.5414877	15256.5424246	15161.4393538	15259.4464661	15337.5917867	15307.1880503	15382.5757605	15070.7088069	15212.4133877	15137.188729	15036.2951261	15025.8077995	15032.5687434	14889.339941
Energy metabolism;Nitrogen	1893.24688205	1695.13157002	1790.85047027	1781.11016234	1794.49458662	1906.77884636	1870.97312671	1683.35651437	1756.66634751	1734.56591572	1381.08370865	1563.58035244	1337.78372778	1619.4454963	1541.29973175	1872.43413854	1994.68981195	1718.17885554	1706.67078407	1720.92536697
Energy metabolism;Oxidative	8853.93384502	9078.10812393	8632.1953183	8697.01482478	9021.90004223	8402.20049936	9435.40429702	9317.92152758	9168.16846351	8996.05777822	8656.32561844	8440.33570497	8958.89824358	8760.99852956	8577.73703683	8188.86889918	8445.89327642	8385.99134723	8233.78371033	8341.3818379
Energy metabolism;Photosynthesis	1595.21338537	838.112055717	1600.49480943	1914.11353454	1144.00522672	937.004579191	4894.04470053	3383.21377265	2666.07203082	3149.24214283	3173.88926475	2282.87958343	2999.06526628	2318.50553257	3000.1423542	1562.41522167	1624.82763334	1141.21538735	1915.45744788	1502.56598763
Folding, sorting and degradation;Proteasome	1846.87844689	1958.91352672	1656.97097834	1663.11540096	1896.71878677	2011.84142808	1421.52120203	1456.12866606	1677.92921854	1556.58314424	1212.02495964	1356.40340448	1243.67007617	1563.66863945	1231.29962838	1716.1085169	1761.51158911	1797.65658858	1556.48408629	1631.83194364
Folding, sorting and degradation;Protein	7195.40956337	7646.64282027	7128.96462288	7285.63792021	7344.72534422	6951.33045735	6927.15285392	7090.94526203	7182.40991699	7037.29942216	6888.1742645	6973.73872192	6935.33420364	7240.01637673	6859.6263419	7482.50880844	7302.63281089	7484.98284027	7478.54486317	7273.76689642
Folding, sorting and degradation;RNA	2730.9323987	2747.84923037	2745.394142	2808.26165696	2736.53577531	2357.54610927	3576.52021535	3500.6723238	3103.58285585	3210.05661114	3973.4963393	3861.973515	4154.41645744	3735.74083033	3865.44109612	2866.94455147	2816.6200576	3060.63373344	3005.70221244	3023.29249215
Folding, sorting and degradation;Sulfur	2866.34062556	2863.99974395	2936.42825019	2970.15300628	2858.71997242	2806.20736613	2743.80457772	2834.58503776	2906.44226822	2877.59994241	2855.91101135	3057.11526118	2889.61294594	2990.2714579	2978.07824444	3340.47055134	3208.5643788	3211.76084737	3184.10496108	2978.21970819
Global and overview maps;Biosynthesis	172038.300544	170428.410436	170207.591418	170840.590622	171417.756425	169446.401964	172335.092513	171122.166724	171793.260004	171837.679323	174278.825828	174942.535658	174724.024662	172270.309233	174791.012608	171742.968314	170621.169059	170969.1853	172579.86975	171008.705412
Global and overview maps;Degradation	2494.6532114	2494.02417416	2608.90327617	2527.21572851	2558.31385435	2976.59730747	2147.5485982	2213.01426018	2307.227664	2367.46628843	1910.17436404	2134.79281665	1871.98469949	2198.69248111	2037.56294361	2405.23788004	2395.13148173	2461.25484305	2355.45037225	2305.4164364
Global and overview maps;Fatty	7474.77106131	7154.36567024	7555.66450138	7319.75430611	7391.39565933	7500.11302885	7046.33391016	7307.91213563	7247.85935166	7218.34470198	6989.89097347	6911.51987667	7157.86879579	7129.9814893	7002.76492116	6643.95202681	6972.69747533	6921.23907273	7003.74553679	7094.56094329
Global and overview maps;Metabolic	158194.022821	158105.94793	158905.872494	160039.844302	158059.121284	156936.093123	165310.40094	162911.118629	161457.157791	162355.441472	165243.725735	163737.618932	165206.719607	161563.883095	164825.476218	160093.23493	159529.814768	159379.871896	160404.161851	160177.319585
Global and overview maps;Microbial	55229.0060084	54665.7821704	54467.3436804	54042.9629199	54779.2504945	56388.1572442	53594.2621318	53677.0265475	54286.8138961	54309.3057946	52267.1362882	53612.0524779	52692.215798	53681.7103542	52865.0907064	55380.8085095	55722.5884433	54734.7941781	54637.535524	54478.8841304
Glycan biosynthesis and metabolism;Glycosaminoglycan	278.926005467	321.943303688	307.736833754	323.570313855	290.557425414	209.725118974	416.776511725	478.456456239	382.741606322	408.273657629	490.599428567	454.836418495	599.347269015	441.635164775	430.051968634	260.265253672	340.637454139	305.340030611	276.19786458	411.323872656
Glycan biosynthesis and metabolism;Glycosphingolipid	232.582310102	329.032973717	316.131489622	329.296821775	288.958227685	253.421257672	286.37811183	359.952414179	262.802822764	283.333316242	572.883643285	517.809251497	627.165177311	493.832053085	543.288954643	288.272796195	303.742082121	339.358497799	324.56125153	442.149196112
Glycan biosynthesis and metabolism;Lipopolysaccharide	217.157329616	140.368994918	228.5757268	259.036666608	156.979415594	104.549716811	517.057743789	459.125011394	333.657383971	362.401613462	460.057351349	509.211651876	497.189286883	577.425449339	525.6952874	298.385022744	254.475024681	368.213661011	313.02456888	357.976152732
Glycan biosynthesis and metabolism;Other	533.467736592	601.000108315	676.060526205	620.108225965	618.790922539	471.757956427	590.0928346	690.717658847	599.121591678	611.325022745	980.766978727	832.987569004	1030.28795904	825.191978196	843.665769178	542.305182341	597.470756205	637.943741637	680.734768414	777.640968142
Glycan biosynthesis and metabolism;Peptidoglycan	1419.92182545	1413.99254094	1730.44263127	1836.34502544	1413.23497739	895.418239762	2698.45878292	2613.6931125	1995.93748606	2199.12795722	3682.40841386	3193.31380922	3729.16766505	2784.59530792	3193.66995905	1588.54450094	1590.65384511	1763.45012962	1910.78590491	2043.07523219
Glycan biosynthesis and metabolism;Various	541.971036919	652.752393738	655.404188139	652.622521327	575.412782699	506.257119195	504.484311616	648.61615729	598.863853879	554.696274361	683.031314754	697.432757294	707.318718781	750.675663491	689.193677716	730.363929996	703.109511234	752.379146876	726.634798913	737.98598766
Lipid metabolism;Fatty	12015.8544813	11649.8554895	12129.7145659	11744.5888911	11903.9027392	12469.9744237	10632.7258346	11134.7926429	11384.947699	11273.050179	10436.8165137	10573.7356194	10521.4673181	10989.6224525	10619.640222	10847.7647603	11510.6463506	11017.3179925	11123.6537819	11305.8222183
Lipid metabolism;Glycerolipid	2487.53291237	2370.33554225	2435.00298311	2468.43856734	2434.17395257	2711.50123546	2970.10411481	2813.46697325	2649.81827497	2715.82651201	2684.66751746	2660.99622537	2722.37823059	2640.32416843	2713.11250754	2554.16711385	2517.79660116	2402.92644076	2453.747983	2546.13862711
Lipid metabolism;Sphingolipid	1471.4553027	1501.95222066	1589.59080532	1517.17008868	1605.59308632	1342.57553427	1591.26754181	1714.58775808	1459.41090895	1545.40592379	1778.6715108	1545.17725506	1897.39876333	1652.85221492	1675.6761126	1146.13222403	1276.0930787	1401.68314446	1456.60873778	1546.98884188
Lipid metabolism;Steroid	1217.62320708	1210.28760927	1169.23965942	1151.33761215	1314.98911746	1226.83374251	1295.26720929	1328.46969026	1134.9123495	1207.77036936	1136.10710304	1121.51419632	1303.92834981	1227.29240723	1213.72436459	930.181331628	927.802747336	1094.91474862	1131.7802326	1147.32613336
Lipid metabolism;Synthesis	1780.18944188	1759.55473341	1737.81894547	1674.30714502	1776.44102319	1618.45210383	1341.13905518	1442.32151347	1589.54322638	1566.61734925	1393.32937687	1477.91096939	1358.24955812	1514.568317	1471.26332561	1718.03820756	1675.93581706	1718.29585316	1698.68353589	1687.54304672
Membrane transport;ABC	24620.2374414	23955.1226232	26135.2079822	25437.2810505	24679.795941	24345.7009184	24447.8874707	24597.5596255	24597.933095	24292.2794413	22277.7038339	22304.7786856	22250.3402335	23701.1728404	22553.6200857	24610.7877538	24669.4403022	24947.9000803	25342.7072426	25281.8005187
Membrane transport;Bacterial	3361.13837809	3539.78205154	3492.97656809	3750.87224102	3390.57081336	3027.76480571	3684.09320352	3794.08782989	3621.65329662	3585.43246484	4062.4450116	4038.86033294	4246.74127278	4045.12861423	4182.98255663	3553.89261067	3581.6381684	3872.3761873	3686.31693779	3642.71337508
Membrane transport;Phosphotransferase	359.051518802	293.758978919	347.761042963	354.484199206	337.946103316	383.680729368	351.505345951	383.331786525	380.878679455	375.396675622	542.574038686	478.143782994	503.779713069	463.74236667	461.672522325	438.473077575	395.630698342	441.514077142	400.639690196	460.970770872
Metabolism of cofactors and vitamins;Biotin	3033.53441381	2838.88543941	2995.97669192	2917.49016299	2990.47897401	3165.34795413	3143.72866212	3090.82096472	2972.7567728	3038.71935818	2747.28957528	2844.5908964	2944.77026345	2882.43828871	2924.20481479	2702.39316406	2691.05822068	2886.30909574	2732.31737444	2860.2166919
Metabolism of cofactors and vitamins;Folate	6716.79604761	6206.97827196	6529.66202018	6604.04699181	6599.396508	6395.94797679	6345.09669458	6357.90544384	6490.45393139	6512.32136246	5959.13814271	5726.16883775	5949.48535113	5874.76997876	5835.55559045	6275.81111424	6097.88472195	6194.46927049	6003.97558339	6264.4855708
Metabolism of cofactors and vitamins;Nicotinate	4393.27366502	4407.84576788	4214.4019923	4306.52805839	4547.79759209	4388.64488107	4471.8985997	4304.78016882	4314.89345559	4332.20606165	4508.34090361	4431.65588908	4573.622559	4189.28303297	4400.75984016	4008.68291271	4019.91928437	4182.83989868	4116.96587595	4196.87843701
Metabolism of cofactors and vitamins;One	3634.936717	3618.65958182	3907.43443967	3778.61568885	3621.8853389	3551.3849999	3451.16609601	3570.62971192	3542.51608483	3600.65608087	3680.93024467	3701.28215225	3600.76992283	3772.86136976	3701.94402527	3891.09768944	3904.86720596	3807.86961441	3929.54914743	3868.28657632
Metabolism of cofactors and vitamins;Porphyrin	7549.32418318	7425.9276732	7436.89061213	7679.39379125	7264.87782941	7949.09151512	8583.81162113	7993.26326639	8179.65049269	8427.94111531	7326.04345086	7595.40943844	7424.94480244	7415.18604202	7632.62741907	8451.63147491	8380.23818051	7682.5911659	7766.70533624	7640.40345149
Metabolism of cofactors and vitamins;Retinol	1427.99024256	1345.1294597	1368.52804965	1313.2453692	1440.02603309	1726.08524465	1090.56074625	1083.32811301	1238.71960747	1252.15160226	781.571059559	945.653409865	779.799533865	1027.66560221	865.76137225	1257.79066993	1376.63205063	1178.79401406	1121.52013409	1201.41452382
Metabolism of cofactors and vitamins;Thiamine	2661.86725759	2762.8223743	2870.21169018	2960.40118603	2732.80965644	2641.705697	3198.0174099	3155.58937777	2968.29657962	3074.96941324	3714.42362067	3376.40322489	3749.32083664	3212.70837791	3523.23548694	2691.8139175	2735.27551092	2703.96539562	2813.08550271	2889.30242119
Metabolism of other amino acids;Cyanoamino	1567.73400049	1452.16150599	1487.88767875	1509.59104669	1592.0742696	1753.06515923	1548.40018229	1525.30223729	1468.75487081	1543.36453166	2078.92520972	1959.37499321	1954.86297549	1700.44350545	1791.7546956	1447.0793977	1457.31235756	1451.48124759	1537.04390306	1521.13934191
Metabolism of other amino acids;D-Alanine	237.857552773	262.930107511	300.132911244	305.778285087	233.387329219	147.085142329	446.886617376	451.284163117	331.223738156	369.49882927	719.622125266	583.661171203	761.179373785	521.828515985	633.72101607	263.412736238	273.737349011	312.217111258	362.16013183	368.879181986
Metabolism of other amino acids;D-Arginine	48.8047391438	73.3791654666	61.5481742074	59.3400148509	63.2638701333	37.0089452567	80.2635539132	104.560759384	72.3581619252	76.2029234212	170.049791961	136.372079235	207.268742751	108.01111375	145.659528578	56.422367593	60.2871719584	68.9465608547	84.940695101	85.1364122832
Metabolism of other amino acids;D-Glutamine	208.824460077	179.151857705	261.100192995	260.93744501	199.598416022	121.864248359	459.2779327	407.672530136	309.366959381	350.5149846	493.789201074	436.966830919	532.701200812	395.956361211	445.425514466	227.243996535	220.788528642	238.368519079	271.121708788	300.259431719
Metabolism of other amino acids;Glutathione	1944.61832756	1732.9772667	1905.89522075	1960.69935847	1866.82059689	1899.53954164	2549.88996179	2198.2087342	2050.31977019	2151.44134179	2371.43341914	2265.22408415	2334.85792408	2116.47704778	2255.05102484	1881.51458852	1870.62399716	1913.22858533	1945.33631567	1939.16092524
Metabolism of other amino acids;Phosphonate	590.799449677	520.560424218	492.879400607	520.88939831	579.281124853	548.676841928	609.24836741	534.245447449	578.24134825	579.005453315	366.397709181	440.012058831	447.227250272	474.768526701	428.679265854	541.018026001	555.853834193	453.63568546	443.206720434	552.233940552
Metabolism of other amino acids;Selenocompound	2692.08118123	2667.11284041	2598.642214	2659.63054611	2588.69038015	2722.05236056	3116.40413521	2868.06869808	2797.48647018	2925.17274866	3084.07482501	3133.76609251	3134.51142275	2792.77839962	3166.95337705	2735.62682717	2735.55652531	2777.74673588	2871.71669723	2662.50932463
Metabolism of other amino acids;beta-Alanine	4001.24095732	3831.09389626	3771.70275528	3740.77893311	3999.53077399	4329.06269043	3810.61569438	3921.15308108	3973.35610813	3905.03601048	3371.52173373	3387.82865567	3441.33569106	3772.52396454	3429.1678373	3720.98918467	4042.90781653	3779.56013317	3604.83531077	3724.61723733
