#contig	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_122_length_48842_cov_32.107939	128587.079461	46545.1692659	255947.760427	341229.419483	38631.0871268	34277.3943419	84504.0749052	163652.185681	270711.052283	217735.929176	109248.840983	286024.562664	141114.753238	66601.6700594	167030.614647	129774.390492	346442.651524	88077.3980434	40304.0149204	129235.001366
NODE_124_length_48724_cov_30.131357	109304.699302	35930.9178121	167146.045864	185903.667635	39761.1664147	28627.5060334	73100.1990689	109632.76699	202478.680989	156801.329253	77842.0473162	210928.838892	123015.494023	66144.1213555	114402.91861	149922.248609	290635.650108	55511.136473	36747.8137067	130209.080372
NODE_137_length_47043_cov_7.029050	38236.5850055	192970.531932	189931.729087	212004.316186	46517.2444958	46771.2230618	29527.207626	58504.8988954	63133.0527151	48568.9016351	49942.3162092	84713.6463706	60563.3080623	69648.3707342	39181.3141825	23009.4110618	49636.7072675	29298.9039159	36528.9075329	38170.3675804
NODE_141_length_46599_cov_30.900911	128586.149175	64794.3853323	234148.121439	313647.392605	74021.8640244	49647.8560945	126167.20566	164502.839759	235454.309448	240152.980119	168446.830509	294474.555744	230164.679675	150139.323871	203416.085589	169771.412142	322309.918196	119150.65423	84990.749259	160494.974142
NODE_143_length_46329_cov_29.235532	120344.806336	32332.7247265	195708.708938	250704.176396	18155.1587527	19090.8579459	59059.7442069	110961.990117	210465.211245	177092.211238	49947.3194938	149877.837979	76550.4146958	46958.4554338	76360.7928425	82172.0347233	224950.940388	29254.5202474	6712.28769818	95435.6858975
NODE_159_length_43909_cov_10.529575	9001.01600151	506.95895803	85224.8008497	126775.595036	6810.99065976	1364.10482443	1406.63643397	5414.84198608	0.0	4049.33860896	0.0	49264.3096763	3561.88804633	3203.03444321	1005.08748401	0.0	6674.77630345	3376.7733239	0.0	1193.40890899
NODE_178_length_41673_cov_29.422245	99123.8286031	26335.3427727	162602.821368	194427.716703	14763.4963359	13645.7723902	52094.0776628	126071.262289	202433.769856	155130.397582	25593.6352828	169252.534067	74243.8369989	39928.6255452	70174.6917032	98238.7790046	218608.571372	36494.3729632	10564.9666393	68606.527039
NODE_185_length_41122_cov_6.888986	36021.0485933	177443.473716	129055.581406	165176.63203	46646.0449359	30023.4819221	30978.1065068	36568.2561197	62023.5634132	60794.225291	104661.999195	116792.673533	73240.716385	69437.0958726	77086.5897836	22106.3453434	52883.2716022	41666.4791954	26341.4221492	44176.8635178
NODE_187_length_40907_cov_29.299692	113695.908244	21233.2342348	171697.387508	200449.892776	9086.65789219	21836.042773	66142.8483523	90747.1565704	167353.26268	174211.379882	33053.993269	139753.491159	55868.7581783	33117.6491203	47502.2428371	90197.2389238	231315.606606	26054.3971308	10556.5232768	78805.1037994
NODE_205_length_39790_cov_32.865836	179232.486383	118556.076908	267027.806693	314580.068247	80752.5243761	72552.9115999	137632.218455	204856.675758	246473.638205	249681.185877	184928.52592	356372.286573	299681.647249	175231.194711	286768.428222	155013.496956	335243.067112	146654.237722	109236.832089	208910.984123
NODE_212_length_39613_cov_31.515901	109219.784552	69274.2855451	199406.686867	251045.476758	56807.3624417	51872.541487	71875.7600311	151735.526381	223583.92859	192671.842016	117449.45668	226151.967156	123105.615604	85488.8997468	126736.350001	125597.110339	273576.052083	86736.0316515	47995.2685728	132569.050934
NODE_258_length_37530_cov_6.644270	32667.351594	146588.079279	176855.081491	220008.249226	43194.7463769	31409.2006007	18305.9313915	40661.692281	38646.702492	27365.8998496	60494.9399905	79396.213914	55280.2628307	76029.9808004	59455.7406395	35493.7360204	54418.0819375	52965.6285182	32649.8524268	59850.0042163
NODE_309_length_35486_cov_6.990686	161159.500125	30866.9465388	73841.5991921	48077.9119174	44702.9073534	9638.15710956	43671.1350031	75939.2021797	48157.8027803	51763.4417904	141569.261774	56104.3457954	151709.963281	30126.8555977	80659.2607791	29770.2233883	31697.0790325	40588.6201335	51878.4688169	88460.8764795
NODE_318_length_35078_cov_30.137538	65371.9587719	20242.248428	117698.018526	201994.518125	15924.1991607	15029.8419531	45083.94903	84084.3678844	176941.638412	124739.209092	33756.8179375	138408.16842	53530.1787071	37444.3758853	53361.688074	73480.3690429	181500.201888	43975.4279546	11529.6120819	57385.9383413
NODE_345_length_34023_cov_30.819006	71026.6964198	28393.1044626	139663.601695	201146.745083	26169.2843165	21867.1877876	40867.3027346	90891.1611109	194572.751985	152162.907072	76846.6142334	170928.608509	96382.6069621	50298.0831742	93030.8745316	92094.8690025	208305.705093	47371.0483921	22232.9732543	76776.7146615
NODE_353_length_33689_cov_31.480407	60885.4534013	35434.1216034	138659.441085	163293.977719	21620.3283524	28703.0840299	38070.8411801	73262.410407	150045.754674	110581.773416	88497.9450467	163950.184189	121382.438223	66561.4723828	109173.036993	101395.05397	211779.030913	86854.744794	49273.6692223	64583.0443064
NODE_356_length_33634_cov_28.783257	71376.1368056	32872.0415593	154686.432688	197156.141661	24201.0675201	31437.1514328	70809.553454	125268.660535	175469.310774	151638.191138	119438.725883	204615.36473	107103.899075	79202.2358754	119258.277464	79923.2733073	206416.790058	61417.7666297	40693.7597875	97577.4203572
NODE_358_length_33594_cov_7.083038	29315.9937081	123515.786984	123741.705739	130763.652291	20482.9965004	32804.3253712	14110.7021968	21707.9778849	33995.6401117	34494.3110525	19796.0920931	43036.8923595	14297.7196784	55716.0612068	17122.4612697	7084.98448857	27713.6631694	9225.7225443	4812.4741605	5980.05961745
NODE_370_length_33078_cov_6.876329	145473.047616	20250.7921819	47337.3658133	51351.6934015	31867.6265493	8202.17419597	32419.5238662	32566.785699	48069.8320808	27396.5118319	97160.2790826	32205.737581	100589.898272	22546.732719	52381.8416942	15253.436403	22156.1606921	20307.1406946	33644.6916163	69548.2947693
NODE_374_length_33033_cov_30.512827	91344.6852668	18315.8894555	120152.782448	184599.299832	18990.1168137	9569.31113816	57791.9964402	67914.2666215	161976.263647	133940.164897	22363.1146782	125940.759616	32226.6493143	30060.9181148	56525.4872914	90535.159624	203861.39922	39628.2345375	13518.4210434	60843.6056395
NODE_396_length_32572_cov_6.740997	156772.613567	12658.189563	55428.1005385	63117.7289342	28457.9057865	8203.27296747	12687.5400146	50214.7044937	42213.8876612	34504.3468525	112284.286867	24694.7849261	83925.105816	34261.3295849	60449.0636342	8858.57869055	31545.5477718	23695.084511	37494.8385081	55163.0826027
NODE_423_length_31999_cov_6.592662	46866.6804485	159034.635442	178778.597074	176817.669201	77097.411258	41022.9384111	66758.3400326	76838.2637979	75296.4204698	72568.3895194	143923.132546	129352.327827	158480.053533	129962.059512	116341.577335	46854.7633785	65167.1115095	77220.1329886	63606.2020164	77777.162431
NODE_435_length_31782_cov_11.082390	20306.2483611	51731.8671463	63261.0265459	53334.7031098	41043.049359	23594.8833315	23970.4225364	51718.0665561	28311.637223	24582.7611536	183630.618407	328023.27365	237538.732037	108812.310719	729207.084091	246764.191436	128643.157715	119860.942607	262498.910223	94113.128769
NODE_464_length_31086_cov_30.581676	71087.1743872	8610.67918031	144415.199342	164745.032038	17083.5335772	19149.1017556	40898.6953665	70605.2990126	148990.126355	130973.546776	28015.7439956	103122.418884	69748.3524344	35350.2523602	41324.9833186	60361.9762978	183622.875127	28303.4208667	7694.49630703	64633.5211142
NODE_487_length_30407_cov_32.808876	92546.5719449	16211.1849262	135420.686895	206155.586326	19366.1991574	16416.9244671	43727.9840671	85560.745207	159584.602178	114852.5263	35070.0757581	141862.061707	91133.8992202	39645.1867167	67553.3680206	83322.2428303	206859.392079	27122.8990159	12512.8717127	71889.1879181
NODE_490_length_30400_cov_30.872829	68845.7809067	18258.6046598	121338.349077	144291.248033	15576.825547	29118.6449084	47129.0502893	79223.1414158	148664.422934	118898.073485	34425.7418138	111096.821757	67097.3123647	44261.8738459	67053.8669037	88186.7003063	183087.546281	27176.0961526	17623.6968415	62726.6953094
NODE_508_length_29963_cov_11.200883	47806.343975	72237.3434206	98861.6422993	74411.8040573	58536.7957192	45810.5067549	84156.3043555	74929.1991432	57912.2160977	71152.5041238	310023.255744	419452.412873	279397.433678	154726.489273	692534.388848	300094.831597	140165.713335	184005.415884	349843.135886	156284.764814
NODE_529_length_29611_cov_31.333807	81282.4442307	31959.7271953	133647.237511	181631.489399	26209.4400762	28736.9294855	53772.0168692	114188.761329	184277.701658	134298.298351	60667.0291897	163806.086313	121633.573362	67705.0003535	112216.159691	89965.4496769	192531.401157	32845.9887502	41038.0153729	101009.317203
NODE_552_length_29242_cov_29.438586	91454.7086807	47580.1169811	152430.765016	180127.127	49445.0164073	37393.6089262	62087.9974745	90451.3096961	168322.379613	163815.391195	88324.5205478	156148.630811	110281.229708	66524.0162037	129076.577998	101309.615689	179722.519843	53789.2292446	50040.3938267	97271.4640788
NODE_602_length_28355_cov_31.239117	93743.6177166	76118.9690569	151881.730449	202157.531808	51306.2275276	41070.4887933	82493.6760459	139533.422198	177040.154844	164587.628411	151993.108548	204375.907188	201281.742932	106363.516705	129426.774335	92567.0716557	195716.921602	96996.1462691	51401.9844278	107464.676748
NODE_604_length_28328_cov_31.885969	80191.1515137	25129.3266109	113830.058206	181431.455768	17102.2812555	22657.7009864	34440.1051517	91824.6185947	140372.893694	125876.950924	40825.8628961	97295.2194993	53651.2927358	39678.94413	65028.1188087	80718.3732111	196062.237633	46327.5897904	12514.7702844	58706.7530173
NODE_610_length_28260_cov_47.285588	13553.7805008	15207.3171985	18505.1521182	18326.9839324	18242.9822866	9799.67311085	22584.8834286	16310.369932	18789.4674614	37603.8242433	659063.332614	56035.914794	21461.1297253	12869.2266692	29297.7059517	142870.211022	78351.3244839	32898.1688899	53080.4188318	134190.445868
NODE_622_length_28044_cov_39.321483	129113.201854	131560.952248	249795.354316	283292.625549	103222.51107	79575.6392217	105968.314753	208879.493025	237640.065201	236107.611687	304214.190198	303957.029492	262541.768729	172505.828266	246793.18024	148472.31068	249315.793808	133398.135782	146300.514237	204996.336886
NODE_637_length_27904_cov_11.844878	30873.7003619	61694.1840721	83859.8688207	86339.8394597	54358.722549	33612.099884	74342.7607267	107173.719147	49708.4682423	72775.3841098	144968.356377	341005.668032	180241.601958	112478.559708	654787.672802	253503.372733	159845.33845	162013.302305	297181.701682	119493.175113
NODE_641_length_27817_cov_6.279231	6778.06251489	21293.1741736	42801.2637921	43994.0508022	15965.7614951	10954.2854124	21176.6337925	115552.770924	21141.8841197	21346.4585747	8166.80072541	88190.7060593	0.0	4290.59177542	26235.7301248	11533.3288869	0.0	13562.0130574	4814.27959688	0.0
NODE_642_length_27810_cov_23.340227	41587.881388	10583.5360199	80975.6017243	104486.18083	9389.86198677	10954.3229482	25804.8582694	69331.871626	72321.8727368	51118.7814461	30333.9168019	101999.996031	55515.3635783	35397.5617611	47426.2704192	50569.314732	120646.952896	31644.7757023	15439.7959472	31234.6744324
