	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
NODE_22283_length_5023_cov_7.715982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15132.5786926	0.0	6365.18168789	74426.043752	0.0	3570.45179036	118188.338848	3789.69146487
NODE_22339_length_5017_cov_7.443773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24592.5001189	0.0	4243.77239811	62336.2345726	0.0	1190.2411147	119207.038419	2526.66070634
NODE_22589_length_4980_cov_221.576650	141411.057999	25361.4603689	116347.692954	204125.150766	94408.804648	79073.6604466	630070.320425	335160.699506	290511.373723	375073.444617	196050.068435	121513.368106	178699.970137	85958.0100544	242525.181248	59989.6014182	135365.045526	42138.3883285	40427.1978968	77101.0718563
NODE_22918_length_4936_cov_236.947142	141779.436782	32773.5611573	134965.937512	199383.808612	82626.5774832	83432.0352364	632496.783891	353355.027884	305354.949996	332738.110394	152877.147138	144313.769306	183709.621847	84337.3101888	185856.286712	67053.5812547	123316.457792	41702.8607453	45505.1395499	77146.9376887
NODE_22987_length_4926_cov_229.004927	155418.265243	25904.4106498	116438.979892	176933.242622	77527.1366161	76249.1286027	578766.337616	333291.956657	307493.866482	350704.433087	175849.988619	112512.269928	159111.830465	80930.7158266	236864.697219	76375.9567206	144562.913945	45283.4614503	36408.6219693	92336.0025481
NODE_23034_length_4920_cov_4.770195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89776.7638176	3409.75170564	0.0	2279.95170866	29743.1794279	6520.37969795	0.0	1191.76399506	8091.41021626	0.0
NODE_23154_length_4904_cov_230.899979	153651.292463	26968.0219659	117702.866228	225891.774933	92094.7142033	66196.7700935	652949.950538	383691.787892	332392.570815	371193.218563	158680.646354	129599.647493	229270.468075	99202.5095404	223120.454987	65216.7130762	146629.369485	34568.6834409	39453.5069569	93629.2200492
NODE_23239_length_4895_cov_33.567769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22676.3536765	0.0	1382.60651153	104544.69184	0.0	7193.44309063	157995.639213	4397.80020273
NODE_23255_length_4893_cov_228.796817	140753.351514	21682.7214816	138709.31354	169493.775961	78992.8421183	63471.3517657	507510.625384	316735.521639	267218.978074	332044.354615	152826.094779	116125.193049	203404.664879	85534.1187601	226977.513949	65284.5464572	126766.792582	36958.2546312	43625.7704358	79785.6195284
NODE_23423_length_4871_cov_222.538414	119162.817561	26977.5640132	143521.062828	187857.613963	75168.5812249	71983.1837983	576189.18906	346491.225055	249409.210056	324137.149774	152598.431097	134384.972403	149762.002128	85563.7654702	214714.105107	50330.7953049	155802.401146	46509.8559963	38457.9044372	89874.7181517
