	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Metabolism of cofactors and vitamins;Porphyrin	7.17018947403	7.06483091636	7.03345581885	7.25187274257	6.84936354055	7.47333307075	7.40351347149	6.93716312906	7.47299475706	7.61068480508	6.58051144495	6.95095109015	6.51776188031	6.60973139711	6.85430934259	8.10109631052	7.8996083502	7.35398526834	7.40268876167	7.1519522769
Metabolism of cofactors and vitamins;Retinol	1.35627512579	1.27972054289	1.29428844339	1.24013542684	1.35766382313	1.62277788817	0.940605587901	0.940194710448	1.13170423851	1.13073063072	0.702034780024	0.865416229827	0.684523294292	0.916038189489	0.777477523328	1.20562324397	1.29767839625	1.12837369926	1.06895577123	1.1246080647
Metabolism of cofactors and vitamins;Riboflavin	2.17136862	2.29827059611	2.34250846893	2.33046003088	2.20250645399	2.14285714154	1.9568754826	1.95468652163	2.17602669066	2.10224974278	2.2803010861	2.17459843317	2.19548902309	2.08371995623	2.17806678988	2.19065401162	2.11363863463	2.19067889436	2.292067276	2.20093554368
Metabolism of cofactors and vitamins;Thiamine	2.52818558701	2.62847603496	2.71450908269	2.79559210683	2.57650675808	2.48359784398	2.75828105523	2.73866098893	2.71185973004	2.77679004507	3.33642672353	3.08992080902	3.29122721802	2.8637365691	3.16396236687	2.58016974124	2.57839989756	2.58830923787	2.6812394104	2.7045892486
Metabolism of cofactors and vitamins;Ubiquinone	2.91312561672	2.89919549475	2.9390157133	3.05207616642	2.88898601616	2.76144690632	3.14087036307	2.82723707726	2.99770066586	3.07167820645	2.84577841421	2.86651834631	2.78635378538	2.65750337114	3.03780826524	2.80943741106	2.76052179574	2.77929334529	2.85220943796	2.79819843715
Metabolism of cofactors and vitamins;Vitamin	1.53314789161	1.60847344587	1.58893296732	1.55557890138	1.5599100064	1.50692511506	1.39975759218	1.40685125753	1.55279829839	1.52777600402	1.47958220966	1.57838142223	1.4615986881	1.44074398244	1.47103183494	1.70337839732	1.57798719917	1.67225304665	1.7081918897	1.57871403947
Metabolism of other amino acids;Cyanoamino	1.48900081062	1.38154799704	1.40717307779	1.42555030534	1.5010156691	1.64814303681	1.33549081863	1.32377354386	1.34186631309	1.39370468174	1.86736418198	1.79312515743	1.71601698355	1.51573740204	1.6090449953	1.38706113778	1.37373146451	1.38939733764	1.46500441755	1.42389286756
Metabolism of other amino acids;D-Alanine	0.225912105485	0.250144740716	0.28385136761	0.288755241776	0.220038753729	0.138281998174	0.385438455316	0.391658794759	0.302608682469	0.333668577763	0.646390055303	0.534138453908	0.668178153311	0.465146296595	0.569098901669	0.252487576158	0.258037755185	0.298862712741	0.345186101669	0.345296727097
Metabolism of other amino acids;D-Glutamine	0.198337084119	0.170440332675	0.246936087607	0.246410744966	0.188182395569	0.114570591579	0.396125930063	0.35380929547	0.282640152844	0.316525593944	0.443538932148	0.399890893882	0.46761554094	0.352946666173	0.400004362535	0.217818950978	0.208125696062	0.228172831261	0.258414545139	0.281063839099
Metabolism of other amino acids;Glutathione	1.84695762495	1.64870867451	1.80250463932	1.85154487718	1.76004789528	1.78585082946	2.19927294728	1.9077730925	1.87318870246	1.94281636582	2.1301054055	2.07302344196	2.04958398727	1.88658041952	2.025097841	1.80347793636	1.76333853881	1.83139445113	1.85416063288	1.81519032111
