	SG1-2014-09-1	SG1-2014-09-2	SG1-2014-09-3	SG1-2014-09-4	SG1-2014-09-5	SG1-2015-06-1	SG1-2015-06-2	SG1-2015-06-3	SG1-2015-06-4	SG1-2015-06-5	SG1-2016-02-1	SG1-2016-02-2	SG1-2016-02-3	SG1-2016-02-4	SG1-2016-02-5	SG1-2017-02-1	SG1-2017-02-2	SG1-2017-02-3	SG1-2017-02-4	SG1-2017-02-5
Metabolism of terpenoids and polyketides;Geraniol	0.173415891062	0.170251533552	0.173596304388	0.161549697775	0.165121520303	0.10540702373	0.185849013208	0.217041351899	0.168813108431	0.170421704257	0.319446279431	0.300230473693	0.353868812077	0.233986492935	0.297385828736	0.142560678911	0.137578077692	0.172316222456	0.179888783114	0.161668121568
Metabolism of terpenoids and polyketides;Insect	0.37593269547	0.288436234323	0.34065817978	0.353088926235	0.340158048967	0.355774995849	0.436750363378	0.411427383998	0.374849363652	0.400027223556	0.491440096738	0.475003476356	0.485021011704	0.416704927127	0.472225849235	0.34902289142	0.449296260638	0.333661099459	0.357767989561	0.394182908997
Metabolism of terpenoids and polyketides;Limonene	0.427508132495	0.351428036264	0.402004119045	0.400012831099	0.39581680615	0.386507914521	0.499008264309	0.496830696386	0.430641499514	0.458433352569	0.651278206341	0.588930859464	0.626898357813	0.507975605194	0.587560795205	0.400482430262	0.500223270725	0.395320563955	0.434676979815	0.454024635555
Metabolism of terpenoids and polyketides;Polyketide	0.366998549719	0.325605202299	0.431769909475	0.410776318014	0.355304994198	0.215606435006	0.532064857228	0.510351126565	0.446560107582	0.466638007644	0.568628904177	0.516691171323	0.572140556493	0.449435797374	0.559690735903	0.318480591799	0.306753882817	0.349450007804	0.404021126012	0.405919625538
Metabolism of terpenoids and polyketides;Terpenoid	0.589888639664	0.466103560703	0.648709309073	0.706543426837	0.493691695702	0.311572969137	1.13223222795	0.975549409126	0.804585756015	0.907053720226	1.02735985608	1.0646546255	1.08105117463	0.844354515137	1.1379271805	0.643067602582	0.595795101722	0.564911133287	0.72539808457	0.631953270871
Nucleotide metabolism;Purine	2.74291994222	2.51308704618	3.17110789955	3.42482699082	2.58437410195	1.7541945609	4.99192741697	4.56479087443	3.70648566327	4.10863013952	5.780271799	5.51166233938	5.95074517919	4.58477113135	5.5993634843	2.98938842222	2.86832614426	2.95253836553	3.67778319422	3.36223976136
Nucleotide metabolism;Pyrimidine	2.25377526288	2.2506870207	2.83574549124	2.99875139865	2.26708130981	1.41312908922	4.15079028797	3.99215141824	3.1277882903	3.49025839623	5.49326469774	4.96411174449	5.69017826595	4.18576492849	5.16552209671	2.59247302283	2.53661922299	2.72889347541	3.1992538487	3.1214423288
Replication and repair;Base	0.354241550739	0.331537912255	0.413826210938	0.449596543514	0.335098415062	0.199482938241	0.624798610841	0.611583921147	0.480864517895	0.505810825836	0.832342440095	0.763293906136	0.849242701595	0.61057314847	0.739253466399	0.430442580438	0.379806867359	0.43082304542	0.530762674841	0.467515187284
Replication and repair;DNA	0.780480155583	0.718537732937	0.90086277277	0.960653994823	0.730053861647	0.482721312193	1.32731712114	1.29748306335	1.06681117197	1.16397975701	1.56977343263	1.57097041022	1.63738701529	1.28812221744	1.5602416745	0.888796918133	0.886850762083	0.83236288156	1.038735083	1.01175813517
Replication and repair;Homologous	0.9907190136	0.938247774919	1.18499947895	1.23973067075	0.936440847427	0.573759649407	1.77747665333	1.69401364902	1.37342047106	1.50165319344	2.26455226018	2.17117974702	2.31744912468	1.76438802333	2.1659421211	1.12085342838	1.04579109246	1.11565794675	1.38608497037	1.3836703168
Replication and repair;Mismatch	1.02483790402	1.01808316121	1.33767042146	1.37667329747	1.01616782777	0.695585196348	1.64753166138	1.66940476124	1.36355116082	1.47893447399	2.30435465518	2.15356622463	2.35326880301	1.77649434376	2.21466482015	1.17326925592	1.08716468963	1.22622632792	1.4770603487	1.44748059649
Replication and repair;Nucleotide	0.716032770938	0.640647015847	0.762498769973	0.811156532896	0.666912782556	0.474049443692	0.95389540768	0.987874200384	0.833667660326	0.89857164654	1.40496729665	1.31043418434	1.47626840534	1.09034371544	1.30055872972	0.748000916394	0.700496223118	0.784836290399	0.883965385342	0.917034873537
Signal transduction;AMPK	0.216737450699	0.235229788435	0.301530001625	0.324403014617	0.223610648395	0.143225883449	0.409683177776	0.39178673977	0.304728014248	0.349788002029	0.583573957235	0.539014028809	0.600435819748	0.451166856061	0.56341810538	0.292196731647	0.316992498859	0.306964223441	0.303684103287	0.35269361126
Signal transduction;FoxO	0.0570881920046	0.028101866808	0.0553593390946	0.0623798829944	0.0423646315	0.025489719291	0.125483165172	0.103776056559	0.0805137084566	0.0875426644544	0.0850885521229	0.0808781525039	0.0869459667034	0.0593666664271	0.110664369015	0.0552440699616	0.0489649470585	0.0399939546123	0.0661597087406	0.0492077266878
